Component,Origin,Licence,Copyright
@babel/helper-wrap-function,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helper-wrap-function)
@babel/helpers,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-helpers)
@babel/highlight,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-highlight)
@babel/parser,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-parser)
@babel/plugin-bugfix-firefox-class-in-computed-class-key,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-bugfix-firefox-class-in-computed-class-key)
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-bugfix-safari-id-destructuring-collision-in-function-expression)
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-bugfix-v8-spread-parameters-in-optional-chaining)
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-bugfix-v8-static-class-fields-redefine-readonly)
@babel/plugin-proposal-private-property-in-object,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-proposal-private-property-in-object)
@babel/plugin-syntax-async-generators,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-async-generators)
@babel/plugin-syntax-bigint,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-bigint)
@babel/plugin-syntax-class-properties,virtual,MIT,(https://babel.dev/docs/en/next/babel-plugin-syntax-class-properties)
@babel/plugin-syntax-class-static-block,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-syntax-class-static-block)
@babel/plugin-syntax-dynamic-import,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-dynamic-import)
@babel/plugin-syntax-export-namespace-from,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-export-namespace-from)
@babel/plugin-syntax-import-assertions,virtual,MIT,The Babel Team (https://babel.dev/team)
@babel/plugin-syntax-import-attributes,virtual,MIT,The Babel Team (https://babel.dev/team)
@babel/plugin-syntax-import-meta,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-import-meta)
@babel/plugin-syntax-json-strings,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-json-strings)
@babel/plugin-syntax-jsx,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-syntax-jsx)
@babel/plugin-syntax-logical-assignment-operators,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-logical-assignment-operators)
@babel/plugin-syntax-nullish-coalescing-operator,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-nullish-coalescing-operator)
@babel/plugin-syntax-numeric-separator,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-numeric-separator)
@babel/plugin-syntax-object-rest-spread,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-object-rest-spread)
@babel/plugin-syntax-optional-catch-binding,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-optional-catch-binding)
@babel/plugin-syntax-optional-chaining,virtual,MIT,(https://www.npmjs.com/package/@babel/plugin-syntax-optional-chaining)
@babel/plugin-syntax-private-property-in-object,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-syntax-private-property-in-object)
@babel/plugin-syntax-top-level-await,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-syntax-top-level-await)
@babel/plugin-syntax-typescript,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-syntax-typescript)
@babel/plugin-syntax-unicode-sets-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-syntax-unicode-sets-regex)
@babel/plugin-transform-arrow-functions,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-arrow-functions)
@babel/plugin-transform-async-generator-functions,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-async-generator-functions)
@babel/plugin-transform-async-to-generator,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-async-to-generator)
@babel/plugin-transform-block-scoped-functions,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-block-scoped-functions)
@babel/plugin-transform-block-scoping,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-block-scoping)
@babel/plugin-transform-class-properties,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-class-properties)
@babel/plugin-transform-class-static-block,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-class-static-block)
@babel/plugin-transform-classes,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-classes)
@babel/plugin-transform-computed-properties,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-computed-properties)
@babel/plugin-transform-destructuring,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-destructuring)
@babel/plugin-transform-dotall-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-dotall-regex)
@babel/plugin-transform-duplicate-keys,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-duplicate-keys)
@babel/plugin-transform-dynamic-import,virtual,MIT,The Babel Team (https://babel.dev/team)
@babel/plugin-transform-exponentiation-operator,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-exponentiation-operator)
@babel/plugin-transform-export-namespace-from,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-export-namespace-from)
@babel/plugin-transform-for-of,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-for-of)
@babel/plugin-transform-function-name,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-function-name)
@babel/plugin-transform-json-strings,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-json-strings)
@babel/plugin-transform-literals,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-literals)
@babel/plugin-transform-logical-assignment-operators,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-logical-assignment-operators)
@babel/plugin-transform-member-expression-literals,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-member-expression-literals)
@babel/plugin-transform-modules-amd,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-modules-amd)
@babel/plugin-transform-modules-commonjs,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-modules-commonjs)
@babel/plugin-transform-modules-systemjs,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-modules-systemjs)
@babel/plugin-transform-modules-umd,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-modules-umd)
@babel/plugin-transform-named-capturing-groups-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-named-capturing-groups-regex)
@babel/plugin-transform-new-target,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-new-target)
@babel/plugin-transform-nullish-coalescing-operator,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-nullish-coalescing-operator)
@babel/plugin-transform-numeric-separator,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-numeric-separator)
@babel/plugin-transform-object-rest-spread,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-object-rest-spread)
@babel/plugin-transform-object-super,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-object-super)
@babel/plugin-transform-optional-catch-binding,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-optional-catch-binding)
@babel/plugin-transform-optional-chaining,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-optional-chaining)
@babel/plugin-transform-parameters,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-parameters)
@babel/plugin-transform-private-methods,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-private-methods)
@babel/plugin-transform-private-property-in-object,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-private-property-in-object)
@babel/plugin-transform-property-literals,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-property-literals)
@babel/plugin-transform-regenerator,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-regenerator)
@babel/plugin-transform-reserved-words,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-reserved-words)
@babel/plugin-transform-shorthand-properties,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-shorthand-properties)
@babel/plugin-transform-spread,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-spread)
@babel/plugin-transform-sticky-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-sticky-regex)
@babel/plugin-transform-template-literals,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-template-literals)
@babel/plugin-transform-typeof-symbol,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-typeof-symbol)
@babel/plugin-transform-typescript,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-typescript)
@babel/plugin-transform-unicode-escapes,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-unicode-escapes)
@babel/plugin-transform-unicode-property-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-unicode-property-regex)
@babel/plugin-transform-unicode-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-unicode-regex)
@babel/plugin-transform-unicode-sets-regex,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-plugin-transform-unicode-sets-regex)
@babel/preset-env,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-preset-env)
@babel/preset-modules,virtual,MIT,(https://www.npmjs.com/package/@babel/preset-modules)
@babel/preset-typescript,virtual,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-preset-typescript)
@babel/regjsgen,npm,MIT,Benjamin Tan (https://github.com/bnjmnt4n/regjsgen)
@babel/runtime,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-runtime)
@babel/template,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-template)
@babel/traverse,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-traverse)
@babel/types,npm,MIT,The Babel Team (https://babel.dev/docs/en/next/babel-types)
@bcoe/v8-coverage,npm,MIT,Charles Samborski (https://demurgos.github.io/v8-coverage)
@cspotcode/source-map-support,npm,MIT,(https://www.npmjs.com/package/@cspotcode/source-map-support)
@datadog/browser-core,npm,Apache-2.0,(https://www.npmjs.com/package/@datadog/browser-core)
@datadog/browser-rum,virtual,Apache-2.0,(https://www.npmjs.com/package/@datadog/browser-rum)
@datadog/browser-rum-core,npm,Apache-2.0,(https://www.npmjs.com/package/@datadog/browser-rum-core)
@datadog/js-instrumentation-wasm,npm,MIT,(https://github.com/datadog/js-instrumentation-wasm#readme)
@esbuild/darwin-arm64,npm,MIT,(https://www.npmjs.com/package/@esbuild/darwin-arm64)
@esbuild/darwin-x64,npm,MIT,(https://www.npmjs.com/package/@esbuild/darwin-x64)
@esbuild/linux-x64,npm,MIT,(https://www.npmjs.com/package/@esbuild/linux-x64)
@eslint-community/eslint-utils,virtual,MIT,Toru Nagashima (https://github.com/eslint-community/eslint-utils#readme)
@eslint-community/regexpp,npm,MIT,Toru Nagashima (https://github.com/eslint-community/regexpp#readme)
@eslint/eslintrc,npm,MIT,Nicholas C. Zakas (https://github.com/eslint/eslintrc#readme)
@eslint/js,npm,MIT,(https://eslint.org)
@humanwhocodes/config-array,npm,Apache-2.0,Nicholas C. Zakas (https://github.com/humanwhocodes/config-array#readme)
@humanwhocodes/module-importer,npm,Apache-2.0,Nicholas C. Zaks (https://www.npmjs.com/package/@humanwhocodes/module-importer)
@humanwhocodes/object-schema,npm,BSD-3-Clause,Nicholas C. Zakas (https://github.com/humanwhocodes/object-schema#readme)
@inquirer/checkbox,npm,MIT,Simon Boudrias (https://github.com/SBoudrias/Inquirer.js/blob/master/packages/checkbox/README.md)
@inquirer/core,npm,MIT,Simon Boudrias (https://github.com/SBoudrias/Inquirer.js/blob/master/packages/core/README.md)
@inquirer/figures,npm,MIT,Simon Boudrias (https://www.npmjs.com/package/@inquirer/figures)
@inquirer/input,npm,MIT,Simon Boudrias (https://github.com/SBoudrias/Inquirer.js/blob/master/packages/input/README.md)
@inquirer/select,npm,MIT,Simon Boudrias (https://github.com/SBoudrias/Inquirer.js/blob/master/packages/select/README.md)
@inquirer/type,npm,MIT,Simon Boudrias (https://www.npmjs.com/package/@inquirer/type)
@isaacs/cliui,npm,ISC,Ben Coe (https://www.npmjs.com/package/@isaacs/cliui)
@istanbuljs/load-nyc-config,npm,ISC,(https://github.com/istanbuljs/load-nyc-config#readme)
@istanbuljs/schema,npm,MIT,Corey Farrell (https://github.com/istanbuljs/schema#readme)
@jest/console,npm,MIT,(https://www.npmjs.com/package/@jest/console)
@jest/core,virtual,MIT,(https://jestjs.io/)
@jest/diff-sequences,npm,MIT,(https://www.npmjs.com/package/@jest/diff-sequences)
@jest/environment,npm,MIT,(https://www.npmjs.com/package/@jest/environment)
@jest/expect,npm,MIT,(https://www.npmjs.com/package/@jest/expect)
@jest/expect-utils,npm,MIT,(https://www.npmjs.com/package/@jest/expect-utils)
@jest/fake-timers,npm,MIT,(https://www.npmjs.com/package/@jest/fake-timers)
@jest/get-type,npm,MIT,(https://www.npmjs.com/package/@jest/get-type)
@jest/globals,npm,MIT,(https://www.npmjs.com/package/@jest/globals)
@jest/pattern,npm,MIT,(https://www.npmjs.com/package/@jest/pattern)
@jest/reporters,virtual,MIT,(https://jestjs.io/)
@jest/schemas,npm,MIT,(https://www.npmjs.com/package/@jest/schemas)
@jest/snapshot-utils,npm,MIT,(https://www.npmjs.com/package/@jest/snapshot-utils)
@jest/source-map,npm,MIT,(https://www.npmjs.com/package/@jest/source-map)
@jest/test-result,npm,MIT,(https://www.npmjs.com/package/@jest/test-result)
@jest/test-sequencer,npm,MIT,(https://www.npmjs.com/package/@jest/test-sequencer)
@jest/transform,npm,MIT,(https://www.npmjs.com/package/@jest/transform)
@jest/types,npm,MIT,(https://www.npmjs.com/package/@jest/types)
@jridgewell/gen-mapping,npm,MIT,Justin Ridgewell (https://www.npmjs.com/package/@jridgewell/gen-mapping)
@jridgewell/remapping,npm,MIT,Justin Ridgewell (https://github.com/jridgewell/sourcemaps/tree/main/packages/remapping)
@jridgewell/resolve-uri,npm,MIT,Justin Ridgewell (https://www.npmjs.com/package/@jridgewell/resolve-uri)
@jridgewell/set-array,npm,MIT,Justin Ridgewell (https://www.npmjs.com/package/@jridgewell/set-array)
@jridgewell/source-map,npm,MIT,Justin Ridgewell (https://www.npmjs.com/package/@jridgewell/source-map)
@jridgewell/sourcemap-codec,npm,MIT,Rich Harris (https://www.npmjs.com/package/@jridgewell/sourcemap-codec)
@jridgewell/trace-mapping,npm,MIT,Justin Ridgewell (https://www.npmjs.com/package/@jridgewell/trace-mapping)
@kwsites/file-exists,npm,MIT,Steve King (https://www.npmjs.com/package/@kwsites/file-exists)
@kwsites/promise-deferred,npm,MIT,Steve King (https://www.npmjs.com/package/@kwsites/promise-deferred)
@module-federation/error-codes,npm,MIT,zhanghang (https://www.npmjs.com/package/@module-federation/error-codes)
@module-federation/runtime,npm,MIT,zhouxiao (https://www.npmjs.com/package/@module-federation/runtime)
@module-federation/runtime-core,npm,MIT,zhouxiao (https://www.npmjs.com/package/@module-federation/runtime-core)
@module-federation/runtime-tools,npm,MIT,zhanghang (https://www.npmjs.com/package/@module-federation/runtime-tools)
@module-federation/sdk,npm,MIT,zhanghang (https://www.npmjs.com/package/@module-federation/sdk)
@module-federation/webpack-bundler-runtime,npm,MIT,zhanghang (https://www.npmjs.com/package/@module-federation/webpack-bundler-runtime)
@mswjs/interceptors,npm,MIT,Artem Zakharchenko (https://www.npmjs.com/package/@mswjs/interceptors)
@nodelib/fs.scandir,npm,MIT,(https://www.npmjs.com/package/@nodelib/fs.scandir)
@nodelib/fs.stat,npm,MIT,(https://www.npmjs.com/package/@nodelib/fs.stat)
@nodelib/fs.walk,npm,MIT,(https://www.npmjs.com/package/@nodelib/fs.walk)
@open-draft/deferred-promise,npm,MIT,Artem Zakharchenko (https://www.npmjs.com/package/@open-draft/deferred-promise)
@open-draft/logger,npm,MIT,Artem Zakharchenko (https://www.npmjs.com/package/@open-draft/logger)
@open-draft/until,npm,MIT,Artem Zakharchenko (https://www.npmjs.com/package/@open-draft/until)
@pkgjs/parseargs,npm,MIT,(https://github.com/pkgjs/parseargs#readme)
@pkgr/core,npm,MIT,JounQin (https://github.com/un-ts/pkgr/blob/master/packages/core)
@playwright/test,npm,Apache-2.0,Microsoft Corporation (https://playwright.dev)
@rollup/plugin-babel,virtual,MIT,Rich Harris (https://github.com/rollup/plugins/tree/master/packages/babel#readme)
@rollup/plugin-commonjs,virtual,MIT,Rich Harris (https://github.com/rollup/plugins/tree/master/packages/commonjs/#readme)
@rollup/plugin-esm-shim,virtual,MIT,Peter Placzek (https://github.com/rollup/plugins/tree/master/packages/esm-shim#readme)
@rollup/plugin-json,virtual,MIT,rollup (https://github.com/rollup/plugins/tree/master/packages/json#readme)
@rollup/plugin-node-resolve,virtual,MIT,Rich Harris (https://github.com/rollup/plugins/tree/master/packages/node-resolve/#readme)
@rollup/plugin-terser,virtual,MIT,Peter Placzek (https://github.com/rollup/plugins/tree/master/packages/terser#readme)
@rollup/plugin-typescript,virtual,MIT,Oskar Segersvärd (https://github.com/rollup/plugins/tree/master/packages/typescript/#readme)
@rollup/pluginutils,virtual,MIT,Rich Harris (https://github.com/rollup/plugins/tree/master/packages/pluginutils#readme)
@rollup/rollup-darwin-arm64,npm,MIT,Lukas Taegert-Atkinson (https://rollupjs.org/)
@rollup/rollup-darwin-x64,npm,MIT,Lukas Taegert-Atkinson (https://rollupjs.org/)
@rspack/binding,npm,MIT,(https://rspack.rs)
@rspack/binding-darwin-arm64,npm,MIT,(https://rspack.rs)
@rspack/binding-darwin-x64,npm,MIT,(https://rspack.rs)
@rspack/core,virtual,MIT,(https://rspack.rs)
@rspack/lite-tapable,npm,MIT,(https://www.npmjs.com/package/@rspack/lite-tapable)
@samverschueren/stream-to-observable,virtual,MIT,(https://www.npmjs.com/package/@samverschueren/stream-to-observable)
@sinclair/typebox,npm,MIT,sinclairzx81 (https://www.npmjs.com/package/@sinclair/typebox)
@sinonjs/commons,npm,BSD-3-Clause,(https://github.com/sinonjs/commons#readme)
@sinonjs/fake-timers,npm,BSD-3-Clause,Christian Johansen (https://github.com/sinonjs/fake-timers)
@tsconfig/node10,npm,MIT,(https://www.npmjs.com/package/@tsconfig/node10)
@tsconfig/node12,npm,MIT,(https://www.npmjs.com/package/@tsconfig/node12)
@tsconfig/node14,npm,MIT,(https://www.npmjs.com/package/@tsconfig/node14)
@tsconfig/node16,npm,MIT,(https://www.npmjs.com/package/@tsconfig/node16)
@types/async-retry,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/async-retry)
@types/babel__core,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/babel__core)
@types/babel__generator,npm,MIT,(https://www.npmjs.com/package/@types/babel__generator)
@types/babel__preset-env,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/babel__preset-env)
@types/babel__template,npm,MIT,(https://www.npmjs.com/package/@types/babel__template)
@types/babel__traverse,npm,MIT,(https://www.npmjs.com/package/@types/babel__traverse)
@types/chalk,npm,MIT,(https://www.npmjs.com/package/@types/chalk)
@types/color-name,npm,MIT,(https://www.npmjs.com/package/@types/color-name)
@types/eslint,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/eslint)
@types/eslint-scope,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/eslint-scope)
@types/estree,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree)
@types/faker,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/faker)
@types/istanbul-lib-coverage,npm,MIT,(https://www.npmjs.com/package/@types/istanbul-lib-coverage)
@types/istanbul-lib-report,npm,MIT,(https://www.npmjs.com/package/@types/istanbul-lib-report)
@types/istanbul-reports,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/istanbul-reports)
@types/jest,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/jest)
@types/json-schema,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/json-schema)
@types/json5,npm,MIT,Jason Swearingen (https://www.npmjs.com/package/@types/json5)
@types/lodash,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/lodash)
@types/lodash.template,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/lodash.template)
@types/mute-stream,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mute-stream)
@types/node,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node)
@types/parse-json,npm,MIT,(https://www.npmjs.com/package/@types/parse-json)
@types/resolve,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/resolve)
@types/retry,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/retry)
@types/semver,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/semver)
@types/stack-utils,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/stack-utils)
@types/wrap-ansi,npm,MIT,(https://www.npmjs.com/package/@types/wrap-ansi)
@types/yargs,npm,MIT,(https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/yargs)
@types/yargs-parser,npm,MIT,(https://www.npmjs.com/package/@types/yargs-parser)
@typescript-eslint/eslint-plugin,virtual,MIT,(https://typescript-eslint.io/packages/eslint-plugin)
@typescript-eslint/parser,virtual,BSD-2-Clause,(https://typescript-eslint.io/packages/parser)
@typescript-eslint/project-service,virtual,MIT,(https://typescript-eslint.io)
@typescript-eslint/scope-manager,npm,MIT,(https://typescript-eslint.io/packages/scope-manager)
@typescript-eslint/tsconfig-utils,virtual,MIT,(https://typescript-eslint.io)
@typescript-eslint/type-utils,virtual,MIT,(https://typescript-eslint.io)
@typescript-eslint/types,npm,MIT,(https://typescript-eslint.io)
@typescript-eslint/typescript-estree,virtual,MIT,(https://typescript-eslint.io/packages/typescript-estree)
@typescript-eslint/utils,virtual,MIT,(https://typescript-eslint.io/packages/utils)
@typescript-eslint/visitor-keys,npm,MIT,(https://typescript-eslint.io)
@ungap/structured-clone,npm,ISC,Andrea Giammarchi (https://github.com/ungap/structured-clone#readme)
@unrs/resolver-binding-darwin-arm64,npm,MIT,JounQin (https://github.com/unrs/unrs-resolver#readme)
@webassemblyjs/ast,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/ast)
@webassemblyjs/floating-point-hex-parser,npm,MIT,Mauro Bringolf (https://www.npmjs.com/package/@webassemblyjs/floating-point-hex-parser)
@webassemblyjs/helper-api-error,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/helper-api-error)
@webassemblyjs/helper-buffer,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/helper-buffer)
@webassemblyjs/helper-numbers,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/helper-numbers)
@webassemblyjs/helper-wasm-bytecode,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/helper-wasm-bytecode)
@webassemblyjs/helper-wasm-section,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/helper-wasm-section)
@webassemblyjs/ieee754,npm,MIT,(https://www.npmjs.com/package/@webassemblyjs/ieee754)
@webassemblyjs/leb128,npm,Apache-2.0,(https://www.npmjs.com/package/@webassemblyjs/leb128)
@webassemblyjs/utf8,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/utf8)
@webassemblyjs/wasm-edit,npm,MIT,Sven Sauleau (https://www.npmjs.com/package/@webassemblyjs/wasm-edit)
